Standardized Median Revenue per Commune,Standardized Median Price per Commune,Standardized Livable Space (m2),Standardized Subtype of Property Score,Standardized State of the Building Score,Standardized PEB Score,Standardized Primary Energy Consumption (kWh/m2),Standardized Surface of the Land (m2),Standardized Construction Year,Standardized Number of Rooms,Standardized Number of Facades
-0.191,0.863,-0.39,0.674,1.167,0.521,-0.01,-0.519,-0.157,-0.005,0.212
-1.267,-0.289,-0.794,-0.565,1.167,-2.792,0.403,-0.519,0.073,-0.752,-0.946
-5.352,0.446,-0.691,-0.565,1.167,0.268,-1.291,-0.519,1.321,-0.752,-0.946
0.885,2.836,1.01,-0.285,1.167,-0.075,-0.741,-0.221,1.091,1.487,-0.946
-0.176,-1.208,-1.076,-0.565,-0.832,1.279,-0.296,-0.519,0.047,-1.498,-0.946
-0.355,-0.596,-1.198,-0.565,-0.832,1.279,-0.538,-0.519,-2.22,-1.498,-0.946
0.775,-0.026,1.649,-0.285,1.167,-0.075,-0.901,0.264,0.837,-0.005,1.37
0.13,-0.473,-0.757,-0.565,1.167,0.268,-1.192,-0.519,1.142,-0.752,-0.946
0.152,0.017,0.822,0.674,1.167,-0.075,-0.95,-0.519,-2.984,0.741,-0.946
0.158,-1.576,0.117,-0.285,1.167,-0.402,-0.004,0.628,0.888,1.487,1.37
0.818,0.661,-0.822,0.674,-0.832,-0.402,0.32,-0.519,1.142,-0.752,0.212
0.624,-0.387,0.07,-0.285,-0.832,-0.402,0.458,-0.027,-0.768,-0.005,0.212
0.555,-0.252,-0.418,-0.565,-0.832,0.268,-1.396,-0.519,1.448,-0.752,-0.946
-5.352,0.446,0.136,-0.285,-0.832,1.279,-0.114,-0.394,-1.736,1.487,-0.946
0.055,0.14,-0.306,0.819,0.566,-0.075,-0.708,-0.519,-1.71,-0.752,-0.946
0.245,0.14,1.254,-0.285,-0.832,0.268,-1.016,0.518,-2.067,1.487,1.37
-0.189,-0.568,0.38,-0.285,-0.832,-0.402,0.315,-0.189,-0.437,-0.752,0.212
1.243,1.243,1.573,2.989,1.167,0.268,-1.385,2.203,1.448,0.741,1.37
-0.173,-1.76,0.033,-0.285,-0.832,-1.138,0.705,0.2,0.582,2.234,1.37
0.645,1.059,0.155,-0.285,1.167,1.279,-0.362,0.197,-0.055,0.741,1.37
-0.403,-0.877,-0.954,-0.565,-0.832,1.279,-0.103,-0.519,0.047,-0.752,-2.104
0.323,0.992,-0.982,-0.565,-0.832,1.279,-0.087,-0.519,0.76,-1.498,0.212
1.264,0.385,0.098,-0.285,-0.832,-1.138,0.788,-0.257,0.098,-0.005,0.212
0.745,0.765,-0.118,-0.285,0.134,0.521,1.877,0.039,-0.258,-0.752,1.37
0.847,1.059,-0.184,-0.285,0.134,-0.402,0.606,0.605,0.073,-0.005,1.37
